Wells55 statewide (tiles of 0.5 degrees)...
  service reports 217,872 wells in the Arizona bbox
  [ 0, 6]     59   running total      59
  [ 0, 7]  1,617   running total   1,676
  [ 0, 8]  3,477   running total   5,153
  [ 0, 9]  4,651   running total   9,804
  [ 0,10]  3,265   running total  13,069
  [ 0,11]    490   running total  13,559
  [ 1, 3]     11   running total  13,570
  [ 1, 4]     62   running total  13,632
  [ 1, 5]     22   running total  13,654
  [ 1, 6]     74   running total  13,728
  [ 1, 7]  4,427   running total  18,155
  [ 1, 8]  6,310   running total  24,465
  [ 1, 9]  4,606   running total  29,071
  [ 1,10]  4,531   running total  33,602
  [ 1,11]  1,251   running total  34,853
  [ 2, 0]  5,436   running total  40,289
  [ 2, 1]    946   running total  41,235
  [ 2, 2]     71   running total  41,306
  [ 2, 3]     20   running total  41,326
  [ 2, 4]    193   running total  41,519
  [ 2, 5]     14   running total  41,533
  [ 2, 6]    790   running total  42,323
  [ 2, 7]  5,136   running total  47,459
  [ 2, 8]  6,317   running total  53,776
  [ 2, 9]    897   running total  54,673
  [ 2,10]  3,431   running total  58,104
  [ 2,11]  1,193   running total  59,297
  [ 3, 0]  1,726   running total  61,023
  [ 3, 1]    763   running total  61,786
  [ 3, 2]    616   running total  62,402
  [ 3, 3]    830   running total  63,232
  [ 3, 4]    869   running total  64,101
  [ 3, 5]  1,421   running total  65,522
  [ 3, 6]  4,275   running total  69,797
  [ 3, 7]  2,205   running total  72,002
  [ 3, 8]  2,046   running total  74,048
  [ 3, 9]    574   running total  74,622
  [ 3,10]  4,615   running total  79,237
  [ 3,11]  2,573   running total  81,810
  [ 4, 0]    331   running total  82,141
  [ 4, 1]  1,924   running total  84,065
  [ 4, 2]    405   running total  84,470
  [ 4, 3]    680   running total  85,150
  [ 4, 4]  6,239   running total  91,389
  [ 4, 5] 16,262   running total 107,651
  [ 4, 6] 10,418   running total 118,069
  [ 4, 7]  1,465   running total 119,534
  [ 4, 8]  3,533   running total 123,067
  [ 4, 9]      7   running total 123,074
  [ 4,10]     11   running total 123,085
  [ 4,11]    206   running total 123,291
  [ 5, 0]      1   running total 123,292
  [ 5, 1]  1,048   running total 124,340
  [ 5, 2]  1,183   running total 125,523
  [ 5, 3]    554   running total 126,077
  [ 5, 4]  3,597   running total 129,674
  [ 5, 5]  7,194   running total 136,868
  [ 5, 6]  2,481   running total 139,349
  [ 5, 7]  1,591   running total 140,940
  [ 5, 8]  1,010   running total 141,950
  [ 5, 9]    119   running total 142,069
  [ 5,10]    799   running total 142,868
  [ 5,11]  2,780   running total 145,648
  [ 6, 1]  1,245   running total 146,893
  [ 6, 2]    610   running total 147,503
  [ 6, 3]  1,128   running total 148,631
  [ 6, 4]  3,972   running total 152,603
  [ 6, 5] 10,727   running total 163,330
  [ 6, 6]  5,373   running total 168,703
  [ 6, 7]  3,472   running total 172,175
  [ 6, 8]    790   running total 172,965
  [ 6, 9]  2,740   running total 175,705
  [ 6,10]  3,641   running total 179,346
  [ 6,11]  1,232   running total 180,578
  [ 7, 0]  2,985   running total 183,563
  [ 7, 1]  1,632   running total 185,195
  [ 7, 2]  1,984   running total 187,179
  [ 7, 3]    397   running total 187,576
  [ 7, 4]  4,313   running total 191,889
  [ 7, 5]  8,213   running total 200,102
  [ 7, 6]  4,233   running total 204,335
  [ 7, 7]    221   running total 204,556
  [ 7, 8]    996   running total 205,552
  [ 7, 9]  1,891   running total 207,443
  [ 7,10]    382   running total 207,825
  [ 7,11]    372   running total 208,197
  [ 8, 0]    138   running total 208,335
  [ 8, 1]  1,804   running total 210,139
  [ 8, 2]    934   running total 211,073
  [ 8, 3]    428   running total 211,501
  [ 8, 4]    121   running total 211,622
  [ 8, 5]    447   running total 212,069
  [ 8, 6]  1,891   running total 213,960
  [ 8, 7]    104   running total 214,064
  [ 8, 8]     16   running total 214,080
  [ 8, 9]     23   running total 214,103
  [ 8,10]     13   running total 214,116
  [ 8,11]    134   running total 214,250
  [ 9, 0]     43   running total 214,293
  [ 9, 1]    374   running total 214,667
  [ 9, 2]     24   running total 214,691
  [ 9, 3]      3   running total 214,694
  [ 9, 4]    158   running total 214,852
  [ 9, 5]    246   running total 215,098
  [ 9, 6]    123   running total 215,221
  [ 9, 7]     52   running total 215,273
  [ 9, 8]      2   running total 215,275
  [ 9, 9]      2   running total 215,277
  [ 9,10]      4   running total 215,281
  [ 9,11]      2   running total 215,283
  [10, 1]      2   running total 215,285
  [10, 2]     70   running total 215,355
  [10, 3]    166   running total 215,521
  [10, 4]    296   running total 215,817
  [10, 5]     12   running total 215,829
  [10, 6]     25   running total 215,854
  [10, 7]      1   running total 215,855
  [10, 9]     85   running total 215,940
  [10,10]      3   running total 215,943
  [11, 1]    307   running total 216,250
  [11, 2]    589   running total 216,839
  [11, 3]    148   running total 216,987
  [11, 4]    546   running total 217,533
  [11, 5]     33   running total 217,566
  [11, 6]     29   running total 217,595
  [11, 7]    272   running total 217,867
  [11, 8]      1   running total 217,868
  [11, 9]      2   running total 217,870
  [11,10]      1   running total 217,871
  [11,11]      1   running total 217,872

Wells55 rows: 217,872
GWSI rows:    46,824
After merge:  257,493 (39,621 GWSI sites not already registered)

140 tiles, largest 532,477 bytes, total 7,962,076 bytes
wrote wells_index.json
